full_model_td,full_model_asd,intensity_channel_td,intensity_channel_asd,orientation_channel_td,orientation_channel_asd,color_channel_td,color_channel_asd,motion_channel_td,motion_channel_asd,flicker_channel_td,flicker_channel_asd
0.868412721,0.862417771,0.844976574,0.846606972,0.897542115,0.885004064,0.79667754,0.802040934,0.807065654,0.811328933,0.797002195,0.805997233
0.880816879,0.871424342,0.847100424,0.856137949,0.904855278,0.888800297,0.808982898,0.814812901,0.813768421,0.823286345,0.785702949,0.800307982
0.890941961,0.878249304,0.853668004,0.857709817,0.911674817,0.893475076,0.828825988,0.820975627,0.828886453,0.826304677,0.782148574,0.798636245
0.894467885,0.883395414,0.854765586,0.865091633,0.915067495,0.895755109,0.833223997,0.830893951,0.832424806,0.836509447,0.7837605,0.8006544
0.894565339,0.884787415,0.846660228,0.861868233,0.915370993,0.896392143,0.827249436,0.830094802,0.825035843,0.834282026,0.773996061,0.79617944
0.895934144,0.886508922,0.846592701,0.860805725,0.915304593,0.898831302,0.831537427,0.831097788,0.827447389,0.833736966,0.772182809,0.78957485
0.899882806,0.890262048,0.857103624,0.865598856,0.918340224,0.900915304,0.843897934,0.837374691,0.840635527,0.842529021,0.779983969,0.788620857
0.89792555,0.891463967,0.854232934,0.865269179,0.915895843,0.900759112,0.843005578,0.840393443,0.840128608,0.841986205,0.774397952,0.778976168
0.896252238,0.898216897,0.843674934,0.864832074,0.917851229,0.906447966,0.83096002,0.844609229,0.829369719,0.843570616,0.764587295,0.766884814
0.900926058,0.902102082,0.842927694,0.865729731,0.922677224,0.90797862,0.832780187,0.847812221,0.827932212,0.84768238,0.763615836,0.763630097
0.898422842,0.905992511,0.845865926,0.864162652,0.920813041,0.911004133,0.832316899,0.853027481,0.832302987,0.845834517,0.766066641,0.755992646
0.90248264,0.905907196,0.843419356,0.86083264,0.924669063,0.911475516,0.831101127,0.849603028,0.826905652,0.843167981,0.773821913,0.754689351
0.897765848,0.907890286,0.843875486,0.861212987,0.917459314,0.913156191,0.830600049,0.849070463,0.82787705,0.84160558,0.768533203,0.751373904
0.902424535,0.910038109,0.847274725,0.86245969,0.916463779,0.914688583,0.838096595,0.850780858,0.829422063,0.84530307,0.759239086,0.748675075
0.901592893,0.904539685,0.850708449,0.855752164,0.916042451,0.909275305,0.839561871,0.844420173,0.830541596,0.838463003,0.764523854,0.742731657
0.906303995,0.909512994,0.859457184,0.858917557,0.915879051,0.914373821,0.848793924,0.847724392,0.835641861,0.842357376,0.741117194,0.738407108
0.8946773,0.91173617,0.847113154,0.865221995,0.907669725,0.914361609,0.836103097,0.853868438,0.819699694,0.849580997,0.742653145,0.736849815
0.91358865,0.907186815,0.865497793,0.855255805,0.920516743,0.911028979,0.862557998,0.845167982,0.839645446,0.838696314,0.738534841,0.73019981
0.913273246,0.90753213,0.871981957,0.850158556,0.916881034,0.915327315,0.868013367,0.840673186,0.84950787,0.832411424,0.739461121,0.723622304
0.898380741,0.910728981,0.850651166,0.852563538,0.907192217,0.917810637,0.843412669,0.843740866,0.82161941,0.8368458,0.726526239,0.722838765
